Date,White,Black,White Rating,Black Rating,Average Rating,Tournament,Organizer,Round Number,Result (W-B),Moves Played,,total winstreaks,winstreaks,win?
2023-08-05,GleduraBenjamin,NakamuraHikaru,2652,2750,2701,FIDE World Cup 2023,Baku AZE,3.1,½-½,33,,1,8,1
2023-08-05,GleduraBenjamin,NakamuraHikaru,2652,2750,2701,FIDE World Cup 2023,Baku AZE,3.1,½-½,33,,,,1
2023-08-06,NakamuraHikaru,GleduraBenjamin,2750,2652,2701,FIDE World Cup 2023,Baku AZE,3.2,1-0,39,,,,1
2023-08-06,NakamuraHikaru,GleduraBenjamin,2750,2652,2701,FIDE World Cup 2023,Baku AZE,3.2,1-0,39,,,,1
2023-08-09,NakamuraHikaru,PraggnanandhaaR,2750,2619,2684,FIDE World Cup 2023,Baku AZE,4.1,½-½,46,,,,1
2023-08-09,NakamuraHikaru,PraggnanandhaaR,2750,2619,2684,FIDE World Cup 2023,Baku AZE,4.1,½-½,46,,,,1
2023-08-10,PraggnanandhaaR,NakamuraHikaru,2619,2750,2684,FIDE World Cup 2023,Baku AZE,4.2,½-½,42,,,,1
2023-08-10,PraggnanandhaaR,NakamuraHikaru,2619,2750,2684,FIDE World Cup 2023,Baku AZE,4.2,½-½,42,,,,1
2023-08-11,NakamuraHikaru,PraggnanandhaaR,2750,2619,2684,FIDE World Cup 2023,Baku AZE,4.3,0-1,33,,,,0
2023-08-11,NakamuraHikaru,PraggnanandhaaR,2750,2619,2684,FIDE World Cup 2023,Baku AZE,4.3,0-1,33,,,,0
2023-08-11,PraggnanandhaaR,NakamuraHikaru,2619,2750,2684,FIDE World Cup 2023,Baku AZE,4.4,1-0,41,,,,0
2023-08-11,NakamuraHikaru,PraggnanandhaaR,2750,2619,2684,FIDE World Cup 2023,Baku AZE,4.3,0-1,33,,,,0
2023-08-11,PraggnanandhaaR,NakamuraHikaru,2619,2750,2684,FIDE World Cup 2023,Baku AZE,4.4,1-0,41,,,,0
