Date,White,Black,White Rating,Black Rating,Average Rating,Tournament,Organizer,Round Number,Result (W-B),Moves Played,,total winstreaks,winstreaks,win?
2023-10-11,VantikaAgrawal,NakamuraHikaru,2381,2750,2565,Qatar Masters Open 2023,Doha QAT,1.2,0-1,62,,1,14,1
2023-10-11,VantikaAgrawal,NakamuraHikaru,2381,2750,2565,Qatar Masters Open 2023,Doha QAT,1.2,0-1,62,,,,1
2023-10-12,NakamuraHikaru,DaiChangren,2750,2515,2632,Qatar Masters Open 2023,Doha QAT,2.2,1-0,45,,,,1
2023-10-12,NakamuraHikaru,DaiChangren,2750,2515,2632,Qatar Masters Open 2023,Doha QAT,2.2,1-0,45,,,,1
2023-10-14,NakamuraHikaru,KevlishviliRobby,2750,2494,2622,Qatar Masters Open 2023,Doha QAT,4.2,1-0,50,,,,1
2023-10-14,NakamuraHikaru,KevlishviliRobby,2750,2494,2622,Qatar Masters Open 2023,Doha QAT,4.2,1-0,50,,,,1
2023-10-15,SindarovJavokhir,NakamuraHikaru,2609,2750,2679,Qatar Masters Open 2023,Doha QAT,5.2,½-½,30,,,,1
2023-10-15,SindarovJavokhir,NakamuraHikaru,2609,2750,2679,Qatar Masters Open 2023,Doha QAT,5.2,½-½,30,,,,1
2023-10-17,NakamuraHikaru,ParavyanDavid,2750,2617,2683,Qatar Masters Open 2023,Doha QAT,6.2,½-½,38,,,,1
2023-10-17,NakamuraHikaru,ParavyanDavid,2750,2617,2683,Qatar Masters Open 2023,Doha QAT,6.2,½-½,38,,,,1
2023-10-18,MaghsoodlooParham,NakamuraHikaru,2701,2750,2725,Qatar Masters Open 2023,Doha QAT,7.2,½-½,30,,,,1
2023-10-18,MaghsoodlooParham,NakamuraHikaru,2701,2750,2725,Qatar Masters Open 2023,Doha QAT,7.2,½-½,30,,,,1
2023-10-18,MaghsoodlooParham,NakamuraHikaru,2701,2750,2725,Qatar Masters Open 2023,Doha QAT,7.2,½-½,30,,,,1
