Date,White,Black,White Rating,Black Rating,Average Rating,Tournament,Organizer,Round Number,Result (W-B),Moves Played,,win?,,,winstreaks,total winstreaks,winrate
2023-07-11,NakamuraHikaru,PinheiroIung Alicio de O.,2750,2320,2535,Titled Tue 11th Jul Early,chess.com INT,2,1-0,54,,1,1,,10,112,0.7846836848
2023-07-11,NakamuraHikaru,NihalSarin,2750,2652,2701,Titled Tue 11th Jul Early,chess.com INT,10,1-0,68,,1,2,,10,,
2023-07-11,NakamuraHikaru,BokBenjamin,2750,2624,2687,Titled Tue 11th Jul Early,chess.com INT,8,1-0,44,,1,3,,7,,over the board winrate
2023-07-11,NakamuraHikaru,Santos FloresAlberto,2750,2168,2459,Titled Tue 11th Jul Late,chess.com INT,1,1-0,39,,1,4,,23,,0.2790697674
2023-07-11,NakamuraHikaru,ChigaevMaksim,2750,2631,2690,Titled Tue 11th Jul Late,chess.com INT,6,1-0,46,,1,5,,25,,
2023-07-11,NakamuraHikaru,RemizovYaroslav,2750,2410,2580,Titled Tue 11th Jul Early,chess.com INT,4,1-0,32,,1,6,,15,,
2023-07-11,NakamuraHikaru,HeAnthony B,2750,2437,2593,Titled Tue 11th Jul Early,chess.com INT,6,1-0,55,,1,7,,10,,
2023-07-11,NakamuraHikaru,CaruanaFabiano,2750,2781,2765,Titled Tue 11th Jul Late,chess.com INT,10,½-½,50,,1,8,,2,,
2023-07-11,NakamuraHikaru,SchmakelSam A,2750,2421,2585,Titled Tue 11th Jul Late,chess.com INT,3,1-0,26,,1,9,,4,,
2023-07-11,NakamuraHikaru,KeymerVincent,2750,2655,2702,Titled Tue 11th Jul Late,chess.com INT,7,1-0,41,,1,10,10,2,,
2023-07-11,SvaneRasmus,NakamuraHikaru,2637,2750,2693,Titled Tue 11th Jul Late,chess.com INT,5,1-0,66,,0,,,2,,
2023-07-11,VolkovNika,NakamuraHikaru,2128,2750,2439,Titled Tue 11th Jul Early,chess.com INT,3,0-1,41,,1,1,,6,,
2023-07-11,OparinGrigoriy,NakamuraHikaru,2674,2750,2712,Titled Tue 11th Jul Early,chess.com INT,11,1-0,34,,0,,,5,,
2023-07-11,NakamuraHikaru,PinheiroIung Alicio de O.,2750,2320,2535,Titled Tue 11th Jul Early,chess.com INT,2,1-0,54,,1,1,,2,,
2023-07-11,NakamuraHikaru,NihalSarin,2750,2652,2701,Titled Tue 11th Jul Early,chess.com INT,10,1-0,68,,1,2,,4,,
2023-07-11,NakamuraHikaru,BokBenjamin,2750,2624,2687,Titled Tue 11th Jul Early,chess.com INT,8,1-0,44,,1,3,,2,,
2023-07-11,NakamuraHikaru,Santos FloresAlberto,2750,2168,2459,Titled Tue 11th Jul Late,chess.com INT,1,1-0,39,,1,4,,2,,
2023-07-11,NakamuraHikaru,ChigaevMaksim,2750,2631,2690,Titled Tue 11th Jul Late,chess.com INT,6,1-0,46,,1,5,,6,,
2023-07-11,NakamuraHikaru,RemizovYaroslav,2750,2410,2580,Titled Tue 11th Jul Early,chess.com INT,4,1-0,32,,1,6,,3,,
2023-07-11,NakamuraHikaru,HeAnthony B,2750,2437,2593,Titled Tue 11th Jul Early,chess.com INT,6,1-0,55,,1,7,,3,,
2023-07-11,NakamuraHikaru,CaruanaFabiano,2750,2781,2765,Titled Tue 11th Jul Late,chess.com INT,10,½-½,50,,1,8,,2,,
2023-07-11,NakamuraHikaru,SchmakelSam A,2750,2421,2585,Titled Tue 11th Jul Late,chess.com INT,3,1-0,26,,1,9,,6,,
2023-07-11,NakamuraHikaru,KeymerVincent,2750,2655,2702,Titled Tue 11th Jul Late,chess.com INT,7,1-0,41,,1,10,10,3,,
2023-07-11,SvaneRasmus,NakamuraHikaru,2637,2750,2693,Titled Tue 11th Jul Late,chess.com INT,5,1-0,66,,0,,,3,,
2023-07-11,VolkovNika,NakamuraHikaru,2128,2750,2439,Titled Tue 11th Jul Early,chess.com INT,3,0-1,41,,1,1,,3,,
2023-07-11,OparinGrigoriy,NakamuraHikaru,2674,2750,2712,Titled Tue 11th Jul Early,chess.com INT,11,1-0,34,,0,,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.7,1-0,51,,1,1,,6,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.9,1-0,44,,1,2,,8,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.1,1-0,33,,1,3,,6,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.23,1-0,30,,1,4,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.1,0-1,28,,1,5,,2,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.2,0-1,4,,1,6,,8,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.8,0-1,53,,1,7,7,6,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.4,1-0,74,,0,,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.22,0-1,25,,1,1,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.17,1-0,31,,1,2,,8,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.11,1-0,55,,1,3,,5,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.3,1-0,23,,1,4,,6,,
